,Datetime,Tweet Id,Text,Sentiment
116,2021-10-15 20:29:38+00:00,1449110239442345995,"Square is considering building a Bitcoin mining system based on custom silicon and open source for individuals and businesses worldwide. If we do this, we’d follow our hardware wallet model: build in the open in collaboration with the community. First some thoughts and questions.",0.0
117,2021-10-15 07:31:59+00:00,1448914536266977282,TIDAL algorithm &gt;&gt;&gt;&gt;,0.0
118,2021-10-14 13:15:40+00:00,1448638640008187905,True https://t.co/o1KBpklmVJ,1.0
119,2021-10-14 06:58:07+00:00,1448543624975851521,💯 https://t.co/JT1GI5Nfar,1.0
120,2021-10-13 19:07:50+00:00,1448364874820689925,https://t.co/ZWRBSj1DBx,1.0
121,2021-10-12 19:26:57+00:00,1448007299830849539,@dionnewarwick @Twitter @leslieberland is the boss of that,1.0
122,2021-10-11 22:36:49+00:00,1447692694512414722,I personally think that Jaime Dimon is worth more to Bitcoin…,1.0
123,2021-10-11 21:10:31+00:00,1447670976456634375,💯 https://t.co/4K3IHoaHGX,1.0
124,2021-10-11 16:59:47+00:00,1447607876613201926,❤️ https://t.co/CO9XQJPjoe,1.0
125,2021-10-08 00:07:47+00:00,1446266033434628110,@apopoutsis @killedbygoogle One way or another,1.0
126,2021-10-07 20:07:19+00:00,1446205516653285376,🌀 https://t.co/geJFH9Ztrg,1.0
127,2021-10-06 18:25:43+00:00,1445817560801456130,@getumbrel @bluesky Def interesting @arcalinea,1.0
128,2021-10-06 17:31:46+00:00,1445803987354230787,the guy behind the guy https://t.co/mlCM7JTiWl,1.0
129,2021-10-06 15:02:30+00:00,1445766422655762440,@cz_binance Bitcoin.,1.0
130,2021-10-06 14:02:07+00:00,1445751227019456519,(more importantly: 1856),1.0
131,2021-10-06 14:00:24+00:00,1445750791126470666,“1T”,1.0
132,2021-10-05 12:02:17+00:00,1445358681017749507,6,1.0
133,2021-10-04 18:57:05+00:00,1445100680990138372,"Signal is WhatsUp

🆙 https://t.co/zpRrxf9qKP https://t.co/T23l7Ih6NQ",1.0
134,2021-10-04 18:18:31+00:00,1445090973772562432,@usainbolt 😁,1.0
135,2021-10-04 17:55:43+00:00,1445085236933664770,"wow this blew up

here’s a link to my SoundCloud: https://t.co/VzV1nNqfxy",1.0
136,2021-10-04 17:38:01+00:00,1445080782335365125,@WhatsApp @obyezeks @Twitter thought this was supposed to be encrypted…,1.0
137,2021-10-04 17:21:56+00:00,1445076735603658754,@helenjstoddard @leslieberland @NolaBeth ❤️,2.0
138,2021-10-02 13:42:11+00:00,1444296657655447560,simple and solid https://t.co/akb8kbe0dD,1.0
139,2021-09-29 17:49:24+00:00,1443271707473678338,Internal conversation with the future of Twitter: @bluesky and @arcalinea https://t.co/h1hwxnx7a5,1.0
140,2021-09-29 13:12:26+00:00,1443202008647938058,@micsolana No.,1.0
141,2021-09-24 15:48:49+00:00,1441429422993657858,@SHodyEsq The team did all of this. Was happy to see it.,1.0
142,2021-09-24 15:47:54+00:00,1441429190482534403,@MuunWallet @kayvz 💯,1.0
143,2021-09-24 13:21:08+00:00,1441392255214964736,@wongmjane @MuunWallet,2.0
144,2021-09-23 18:55:34+00:00,1441114032136617993,@gladstein @HRF Def @kayvz,1.0
145,2021-09-23 18:08:55+00:00,1441102290878750724,⚡️⚡️⚡️ https://t.co/dWcMxeGFtL,1.0
146,2021-09-22 17:23:59+00:00,1440728596876709895,🌅,1.0
147,2021-09-21 17:34:52+00:00,1440368947598032906,@sonalibasak I’m sorry,1.0
148,2021-09-20 19:22:18+00:00,1440033596773834761,"well said

(and beautiful work) https://t.co/DkLb0uWhOc",1.0
149,2021-09-20 19:18:05+00:00,1440032534134280193,@real_vijay Damn now I gotta tweet more,1.0
150,2021-09-18 18:46:32+00:00,1439299818137047043,@evan_greer Smells Like Jeremy,1.0
151,2021-09-16 18:53:35+00:00,1438576819117215749,“crypto”,1.0
152,2021-09-16 18:34:46+00:00,1438572083009802241,💯 https://t.co/ZUjlLovjIk,1.0
