Datetime,Tweet Id,Text,Sentiment
2021-07-12 23:39:31+00:00,1414731177391427586,O Euro foi mais ou menos assim... #EURO2020 #EuroFinal #Euro2020Final https://t.co/EvPAgUBvqX,1.0
2021-07-12 23:38:42+00:00,1414730972197801984,"This is how Italy won the euros.
England 3-2 #England #euro2021final #EuroFinal #Euros2021 #ENG #ThreeLions #Disgraceful #Rashford #SayNoToRacism #Saka #Sancho #racism #football #itsnotcominghome #ItsComingHome https://t.co/JkScsu1e66",1.0
2021-07-12 23:38:27+00:00,1414730909295783943,"It's obvious the Tories planned to use an #England win in #EuroFinal as an odious way to say ""hurrah for us and post-Brexit Britain"".

In fact, the conduct of Patel and other ministers have brought the Conservative Party's attitudes to race and dissent into sharp and ugly focus.",1.0
2021-07-12 23:37:49+00:00,1414730749912117248,"Bravo Boris 👏👏 quasi come un capo ultras,  così ti voglio…. Carico come non mai! #Italianfans #NotteAzzurra #ItsComingHome #ITSCOMINGTOROME #Euro2020Final #EURO2020 https://t.co/8hEIMgFxt4",1.0
2021-07-12 23:36:44+00:00,1414730477441851395,"Кому кому, но только одному.

#джорджокьеллини #Chiellini #GiorgioChiellini #art #portrait #Euro2020Final #EURO2020 #v17art 
Акрил, холст с подрамником 40х40 

Начальная ставка 5000₽ https://t.co/hnNRLGyFZh",1.0
2021-07-12 23:35:54+00:00,1414730266115969028,"I modsætning til al den godsindede racisme han bliver udsat for. 
#racism #Rashford #EuroFinal https://t.co/2eYBn7DbSt",1.0
2021-07-12 23:33:28+00:00,1414729653533790209,"#Euro2020Final #Memes 
Oh this 2 funny lol https://t.co/ymohOmkd90",1.0
2021-07-12 23:32:42+00:00,1414729458695745543,#EuroFinal #racistengland https://t.co/H633wQYjZH,1.0
2021-07-12 23:32:18+00:00,1414729360368562180,@JustinTallis @addcount Clearly a charming inclusive place. And why I’ve never visited the UK in spite of having a UK passport (my dad was English; my own genetics are 98% Brit/Celtic). #Euro2020Final #Racism,2.0
2021-07-12 23:32:07+00:00,1414729315087011841,"“If you abuse anyone on social media you’re not an England fan and we don’t want you,"" said England captain Harry Kane after people targeted three black players who missed spot-kicks in the penalty shootout against Italy. #Euro2020Final https://t.co/2jnP1nh8Q2",1.0
2021-07-12 23:31:49+00:00,1414729239463596037,"Miss me with the “it’s a minority” line. This is who we are as a country, we need to face it and acknowledge it. Have the uncomfortable conversations. Otherwise, we remain in this vicious cycle - time and time again. It needs to end. #EuroFinal #ENG https://t.co/Mb90te09X2",0.0
2021-07-12 23:31:41+00:00,1414729205431119874,Stand with solidarity with african english players who got racially abused after the #Euro2020Final,1.0
2021-07-12 23:31:11+00:00,1414729080231108610,Par contre l’Italie on est des bêtes trucs de ouf🇮🇹 #ita #Euro2020Final,1.0
2021-07-12 23:30:44+00:00,1414728967416950790,"doesn't have anth to do with their perf in the sport.Yes be mad they missed,be mad about their skills/perf.It has NOTHING to do with their ethnicity or race.I'm disappointed-A ⚽️cup that makes me feel connected to ppl are now having those ppl displaying this behaviour
#EuroFinal",1.0
2021-07-12 23:29:58+00:00,1414728773623328772,We stand firmly behind you @MarcusRashford ✊🏽✊🏽 you and your team mates did us ALL proud! Brought us joy snd happiness when we needed it the most. Stand proud brother🖤🤎 #Euro2020Final #SayNoToRacism #EnglandRacism https://t.co/SLao2S3FUa,1.0
2021-07-12 23:29:14+00:00,1414728586569912326,"Posso dire che un po' l'avevo predetto? Ecco cosa scrivevo il giorno prima di Italia-Turchia https://t.co/R5Po8mGeUC 😀😉

#ItaliaInghilterra #Euro2020Final #ItsComingRome #ItsComingHome #Italia #Mancini #ITAENG #NotteAzzurra #campionideuropa",1.0
2021-07-12 23:28:45+00:00,1414728465216065546,"Marcus Rashford, Jadon Sancho and Bukayo Saka all deserve massive respect. All under 24 years of age and they stepped up to take a penalty in the biggest game they have ever been in. That being said I did want Italy to win #Euro2020Final #ITSCOMINGTOROME",1.0
2021-07-12 23:28:43+00:00,1414728456479416325,"https://t.co/3WK1lcSwkd

Oh look it’s Immobi……… oh I forgot it’s ok, they aren’t Jonny foreigners!!!
#Euro2020Final",1.0
2021-07-12 23:27:44+00:00,1414728211758411781,"Taste of #Euro2020Final. 

If Italy ever faces Scotland in the final, Domino's Japan could have a real treat in store for us. https://t.co/klxt6SxgK1",1.0
2021-07-12 23:27:26+00:00,1414728137305468928,"They are the real hero's!
They predicted the Euros winner correctly a week to the finals.
#Euros #EuroCup2021 #EuroFinal #final #euro #bbceuro2020 #ITVFootball #ItalyvsEngland #EnglandvsItaly #KTNEuro2020 #BB23 #BBNaijaReunion #BigBrotherNaija #Messi #Leo #CopaAmerica2021 https://t.co/2r4YzR522F",1.0
2021-07-12 23:27:09+00:00,1414728063087169539,"Chiellini es la versión humana de Calamardo o Calamardo la versión cartoon/animal de Chiellini?! 🤔
#MisteriosSinResolver
#ExpedientesSecretosX
#Chiellini 
#Ita
#Italia
#Eurocopa2021
#EuroFinal 
#EuroCup2021 https://t.co/rNK2pAeD9U",2.0
2021-07-12 23:27:00+00:00,1414728025057415174,"""It is down to me, I decided on the penalty-takers based on what they have done in training,"" said England manager Gareth Southgate 

#Euro2020Final https://t.co/F3oWMgeXyq",1.0
2021-07-12 23:26:57+00:00,1414728014684905476,"Sunday night’s anti-Black racism after #Euro2020Final once again underlined the tight boundaries drawn even around Black excellence. Entertain to our liking or else. Out come the white hoods and robes. New from me:

https://t.co/udXKSW879t",1.0
2021-07-12 23:25:48+00:00,1414727722950029319,"Why is it that I have only come across white people making shit remarks about the black England players? @darrengrimes_ #racist #xenophobic attention seeking twats that's why! Who need the limelight, prime example given. #Euro2020Final https://t.co/GT5jVxo129",2.0
2021-07-12 23:25:36+00:00,1414727674329804802,"Couldn't understand why it's England win when @sterling7  scores and it's black kids messing up England reputation when @MarcusRashford  and Sancho miss a penalty.
#racism #RacismIsNotFreedomOfExpression #Euro2020Final https://t.co/OHHoUCilAp",1.0
2021-07-12 23:25:28+00:00,1414727640905396224,Its not enough to start a fight between and a brother simply for a game. #Euro2020Final #ENG #EnglandvItaly https://t.co/MedAZCuswB,1.0
